bucket,human_label,notes,splink_p,name_sim,shared_id_proxy,name_a,name_b,juris_a,juris_b,date_a,date_b,source_a,source_b,record_id_a,record_id_b
splink_high_confident,,,0.999,1.0,1,بى بيه ميدل ايست ش.ذ.م.م,بى بيه ميدل ايست ش.ذ.م.م,AE,AE,1980-09-10,1980-09-10,,GLEIF,299c21d3-3070-6078-fdee-11732410fa7d,opencheck-34c7e8a48fa55636f740bc59
splink_high_confident,,,0.999,1.0,1,"IGI RESOURCES, INC.","IGI RESOURCES, INC.",US,US,1985-10-29,1985-10-29,,GLEIF,329380e8-57c6-cfd8-6758-6ca1ff995cdc,opencheck-83a5257ac507d2d6ca7bade2
splink_high_confident,,,0.999,1.0,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1978-07-14,1978-07-14,,UK Companies House,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-e701b218c12797a8d5a0ff58
splink_high_confident,,,0.999,1.0,1,BP FRANCE,BP FRANCE,FR,FR,1923-01-01,1923-01-01,,GLEIF,d6141c28-58ef-de8a-898b-34640fa05241,opencheck-dbf53cfd9a2b2610a9c2d296
splink_high_confident,,,0.999,1.0,1,BP AMERICA PRODUCTION COMPANY,BP AMERICA PRODUCTION COMPANY,US,US,1930-12-12,1930-12-12,,GLEIF,ffbe835c-01ff-3b5b-3db9-f5b8834fa944,opencheck-d213860ed75fee321446028b
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION & PRODUCTION INC.,BP EXPLORATION & PRODUCTION INC.,US,US,1996-06-10,1996-06-10,,GLEIF,df35ca10-b49b-c764-4848-3a99458f0ea0,opencheck-23ec7afce29e24a1fe9cfc21
splink_high_confident,,,0.999,1.0,1,BP SHIPPING LIMITED,BP SHIPPING LIMITED,GB,GB,1915-04-30,1915-04-30,,UK Companies House,eaa4d26b-4214-2896-f3d9-30d91a52c253,opencheck-7a8b7059e259d6875b4eb978
splink_high_confident,,,0.999,1.0,1,"ARCHE ENERGY PROJECT, LLC","ARCHE ENERGY PROJECT, LLC",US,US,2019-02-12,2019-02-12,,GLEIF,c2e1ca5e-f391-391f-d801-0ef848004a2e,opencheck-d21639b918406cd766e4ef0f
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION (ALPHA) LIMITED,BP EXPLORATION (ALPHA) LIMITED,GB,GB,2007-04-26,2007-04-26,,GLEIF,e6955ff0-d5ba-2e95-b3e1-8c6613ef857f,opencheck-85843ce13aa5fb6e546ec721
splink_high_confident,,,0.999,1.0,1,"THALASSA ENERGY PROJECT, LLC","THALASSA ENERGY PROJECT, LLC",US,US,2019-02-12,2019-02-12,,GLEIF,15e07e06-ff5a-a203-d5f6-8b160cbb0e2f,opencheck-247d1acc9c1a3fc5aaee5204
splink_high_confident,,,0.999,1.0,1,CASTROL HOLDINGS INTERNATIONAL LIMITED,CASTROL HOLDINGS INTERNATIONAL LIMITED,GB,GB,2020-08-20,2020-08-20,,GLEIF,06c116c5-e143-d5a9-4dee-490f782a029b,opencheck-a3ceb2b0b2f8f07f322d5cfe
splink_high_confident,,,0.999,1.0,1,BP GAS MARKETING LIMITED,BP GAS MARKETING LIMITED,GB,GB,1967-06-22,1967-06-22,,GLEIF,ccc5b4b9-082d-2e8f-3578-e9fbc93fc7df,opencheck-76d215c7b3cf5d64f5e64b0e
splink_high_confident,,,0.999,1.0,1,BP OIL INTERNATIONAL LIMITED,BP OIL INTERNATIONAL LIMITED,GB,GB,1936-12-28,1936-12-28,,GLEIF,d65d36fb-d07a-8606-4f25-99c2b2cde923,opencheck-e82a0ecfa97128cd90aa54a8
splink_high_confident,,,0.999,1.0,1,BP PRODUCTS NORTH AMERICA INC.,BP PRODUCTS NORTH AMERICA INC.,US,US,1922-01-03,1922-01-03,,GLEIF,5183c75c-8b2e-e3b4-67fb-f0963ae20b25,opencheck-425b01485d5af155736d3def
splink_high_confident,,,0.999,1.0,1,BRITANNIC ENERGY TRADING LIMITED,BRITANNIC ENERGY TRADING LIMITED,GB,GB,1978-07-14,1978-07-14,,GLEIF,1dcad769-aee1-7400-e110-9d61e99fcabc,opencheck-30265a09004cc3918ec085bb
splink_high_confident,,,0.999,1.0,1,B P AUSTRALIA PTY LTD,B P AUSTRALIA PTY LTD,AU,AU,1920-08-25,1920-08-25,,GLEIF,fd6d044a-2155-bae9-b697-6cb53cbc8575,opencheck-058f32b2b257fe993dc927bc
splink_high_confident,,,0.999,1.0,1,ARCHAEA ENERGY INC.,ARCHAEA ENERGY INC.,US,US,2020-09-01,2020-09-01,,GLEIF,04e76c7e-22cb-6a73-c6e9-3685da1dcdae,opencheck-0db91d7f268f5d7a07fe77bb
splink_high_confident,,,0.999,1.0,1,AIR BP LIMITED,AIR BP LIMITED,GB,GB,1973-12-11,1973-12-11,,GLEIF,d6b14444-f2e5-f2fc-dd7f-532620965976,opencheck-92e04f1669ad405cb308edbd
splink_high_confident,,,0.999,1.0,1,BP SHIPPING LIMITED,BP SHIPPING LIMITED,GB,GB,1915-04-30,1915-04-30,,GLEIF,eaa4d26b-4214-2896-f3d9-30d91a52c253,opencheck-c5d029a8ab3222c38cf67289
splink_high_confident,,,0.999,1.0,1,CASTROL INDIA LIMITED,CASTROL INDIA LIMITED,IN,IN,1979-05-30,1979-05-30,,GLEIF,47eae507-9f1a-1ee5-f6f4-0182a2737dc5,opencheck-6526578602ef526636620c67
splink_high_confident,,,0.999,1.0,1,BRITANNIC TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1966-02-21,1966-02-21,,UK Companies House,d89ed83b-62c8-8b97-b7ed-b51c1b595af3,opencheck-8ee0a3c6e131ca573b41255a
splink_high_confident,,,0.999,1.0,1,BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES SA,BP PORTUGAL - COMÉRCIO DE COMBUSTÍVEIS E LUBRIFICANTES SA,PT,PT,2014-05-06,2014-05-06,,GLEIF,2967ecf9-7388-582b-1316-af4a4d001226,opencheck-2f55989ab56be6b33ba5c1a4
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION (CASPIAN SEA) LIMITED,BP EXPLORATION (CASPIAN SEA) LIMITED,GB,GB,1946-02-11,1946-02-11,,GLEIF,b4195038-470c-71a7-1ba3-a68fb1c5ab5b,opencheck-893c5cf818bd68e0148449ae
splink_high_confident,,,0.999,1.0,1,BRITANNIC TRADING LIMITED,BRITANNIC TRADING LIMITED,GB,GB,1966-02-21,1966-02-21,,GLEIF,d89ed83b-62c8-8b97-b7ed-b51c1b595af3,opencheck-edcf4de1011210509a7fdc11
splink_high_confident,,,0.999,1.0,1,BP EXPLORATION (ALPHA) LIMITED,BP EXPLORATION (ALPHA) LIMITED,GB,GB,1971-08-16,1971-08-16,,GLEIF,fca2926c-f317-66cb-2b64-6a5056a12270,opencheck-0cf54aa53fa9cb7b3a478f1f
difflib_yes_splink_no,,,0.453,1.0,1,BP Australia Investments Pty Ltd,BP Australia Investments Pty Ltd,AU,AU,nan,nan,,GLEIF,91a53bdd-dea3-23a5-06c0-dbd76d34e2e2,opencheck-c2ce36716c9a96cfb6fb3443
difflib_yes_splink_no,,,0.399,1.0,1,BP AUSTRALIA SWAPS MANAGEMENT LIMITED,BP AUSTRALIA SWAPS MANAGEMENT LIMITED,GB,GB,nan,nan,,GLEIF,6ef328ba-50a4-6c6b-ec80-6240477ff6ed,opencheck-c45a813a18921b174aeb66ed
difflib_yes_splink_no,,,0.399,1.0,1,BP AUSTRALIA SWAPS MANAGEMENT LIMITED,BP AUSTRALIA SWAPS MANAGEMENT LIMITED,GB,GB,2012-11-19,nan,UK Companies House,GLEIF,opencheck-45b38f891434312c24f9cce7,opencheck-c45a813a18921b174aeb66ed
difflib_yes_splink_no,,,0.205,1.0,1,BP ADVANCED MOBILITY LIMITED,Bp Advanced Mobility Limited,GB,GB,2018-05-09,nan,,UK Companies House,7fff3db1-40f4-d78f-ac12-72f6f48a9da7,opencheck-730057b8fea35d6be627f84b
difflib_yes_splink_no,,,0.147,1.0,1,BP WEST COAST PRODUCTS LLC,BP WEST COAST PRODUCTS LLC,US,US,nan,2001-09-26,,OpenCorporates,542ca7af-b8f7-ed5a-0401-abc7e7a93936,opencheck-3fd605c11011e5da3fef7852
difflib_yes_splink_no,,,0.147,1.0,1,BP COMPANY NORTH AMERICA INC.,BP COMPANY NORTH AMERICA INC.,US,US,nan,1985-01-21,,OpenCorporates,5bdad9d4-9fb8-96f5-c3a6-093b7c9266e1,opencheck-b901bb8fc2547418f5cc8fe6
difflib_yes_splink_no,,,0.147,1.0,0,"публичное акционерное общество ""Нефтяная компания ""Роснефть""","публичное акционерное общество ""Нефтяная компания ""Роснефть""",RU,RU,1995-12-07,nan,,OpenAleph,09f8ba9a-7454-199b-8289-b57d735a4e15,opencheck-1fb5f2216b4790466e9fc659
difflib_yes_splink_no,,,0.147,1.0,1,BP WEST COAST PRODUCTS LLC,BP WEST COAST PRODUCTS LLC,US,US,nan,2001-09-26,GLEIF,OpenCorporates,opencheck-292c3727939755a998509ded,opencheck-3fd605c11011e5da3fef7852
difflib_yes_splink_no,,,0.147,1.0,1,BP COMPANY NORTH AMERICA INC.,BP COMPANY NORTH AMERICA INC.,US,US,nan,1985-01-21,GLEIF,OpenCorporates,opencheck-949196695e88484b4a01e785,opencheck-b901bb8fc2547418f5cc8fe6
difflib_yes_splink_no,,,0.147,1.0,0,"публичное акционерное общество ""Нефтяная компания ""Роснефть""","публичное акционерное общество ""Нефтяная компания ""Роснефть""",RU,RU,1995-12-07,nan,,OpenAleph,09f8ba9a-7454-199b-8289-b57d735a4e15,opencheck-260a0dfe6aad110ef0ac7299
difflib_yes_splink_no,,,0.147,1.0,1,BANK SADERAT PLC,BANK SADERAT PLC,GB,GB,nan,1973-08-03,,OpenCorporates,98edc32f-6f83-9c3f-4fd2-642249bd4c73,opencheck-9a84165c138b6cf2524aecf5
difflib_yes_splink_no,,,0.147,1.0,1,BP CANADA ENERGY GROUP ULC,BP CANADA ENERGY GROUP ULC,CA,CA,2013-01-01,nan,,OpenCorporates,5de80f61-e34a-31ce-4a13-d8e50cda8288,opencheck-0aeb64449cc142ed1e3ca364
difflib_yes_splink_no,,,0.147,1.0,1,BP CANADA ENERGY GROUP ULC,BP CANADA ENERGY GROUP ULC,CA,CA,nan,2013-01-01,OpenCorporates,GLEIF,opencheck-0aeb64449cc142ed1e3ca364,opencheck-ab8b30315d741d0a6904f6d0
difflib_yes_splink_no,,,0.147,1.0,1,BP EUROPA SE,BP Europa SE,DE,DE,2010-04-30,nan,,Global Energy Monitor / Climate TRACE,67bee6be-ab5a-9e95-965f-b0b4bbd058c8,opencheck-c01c95bffa493d5aa2d99754
difflib_yes_splink_no,,,0.147,1.0,1,BP EUROPA SE,BP Europa SE,DE,DE,2010-04-30,nan,GLEIF,Global Energy Monitor / Climate TRACE,opencheck-b272dbc792f5391d461f265a,opencheck-c01c95bffa493d5aa2d99754
difflib_yes_splink_no,,,0.114,1.0,1,BP RAFFINADERIJ ROTTERDAM B.V.,BP Raffinaderij Rotterdam B.V.,NL,NL,1989-10-25,nan,,OpenCorporates,de790da8-c929-4af0-8319-3be5a4716f5e,opencheck-f266f3ac78f72c886a56d5f2
difflib_yes_splink_no,,,0.114,1.0,0,B P AUSTRALIA PTY LTD,B P AUSTRALIA PTY LTD,AU,AU,nan,1920-08-25,Australian Business Register — ABN Lookup (Australian Taxation Office),OpenCorporates,opencheck-e6819e0b09cf5c63c4ca34fb,opencheck-e9cbeec5dab2004e36b27d37
difflib_yes_splink_no,,,0.114,1.0,1,BP RAFFINADERIJ ROTTERDAM B.V.,BP Raffinaderij Rotterdam B.V.,NL,NL,1989-10-25,nan,GLEIF,OpenCorporates,opencheck-44e743415b49d2653eac8dca,opencheck-f266f3ac78f72c886a56d5f2
difflib_yes_splink_no,,,0.114,1.0,1,BP RAFFINADERIJ ROTTERDAM B.V.,BP Raffinaderij Rotterdam B.V.,NL,NL,1989-10-25,nan,KvK — Netherlands Chamber of Commerce,OpenCorporates,opencheck-f009e68f2a4ac2caf3ed22ae,opencheck-f266f3ac78f72c886a56d5f2
difflib_yes_splink_no,,,0.114,1.0,0,BP Australia Investments Pty Ltd,BP AUSTRALIA INVESTMENTS PTY LTD,AU,AU,nan,2002-11-29,,OpenCorporates,91a53bdd-dea3-23a5-06c0-dbd76d34e2e2,opencheck-de375f20885752757b9252fb
difflib_yes_splink_no,,,0.114,1.0,0,Air BP Sweden Aktiebolag,Air BP Sweden Aktiebolag,SE,SE,nan,1962-01-22,OpenAleph,OpenCorporates,opencheck-275996348900034cb0496beb,opencheck-de214af30c28624d2723cb5c
difflib_yes_splink_no,,,0.114,1.0,0,BP Australia Investments Pty Ltd,BP AUSTRALIA INVESTMENTS PTY LTD,AU,AU,nan,2002-11-29,GLEIF,OpenCorporates,opencheck-c2ce36716c9a96cfb6fb3443,opencheck-de375f20885752757b9252fb
difflib_yes_splink_no,,,0.114,1.0,0,BP Australia Investments Pty Ltd,BP AUSTRALIA INVESTMENTS PTY LTD,AU,AU,nan,2002-11-29,Australian Business Register — ABN Lookup (Australian Taxation Office),OpenCorporates,opencheck-cb8e29d82728a9619cff2b04,opencheck-de375f20885752757b9252fb
difflib_yes_splink_no,,,0.114,1.0,1,BP Commodity Supply B.V.,BP Commodity Supply B.V.,NL,NL,2018-08-22,nan,,OpenCorporates,c009b342-090d-5517-ff4a-105722a84dbc,opencheck-6c50f1e0b1a2996b4422be46
difflib_yes_splink_no,,,0.114,1.0,1,BP Commodity Supply B.V.,BP Commodity Supply B.V.,NL,NL,2018-08-22,nan,GLEIF,OpenCorporates,opencheck-06457a91a05faf32e1cd1c5e,opencheck-6c50f1e0b1a2996b4422be46
splink_borderline,,,0.525,1.0,1,BP WEST COAST PRODUCTS LLC,BP WEST COAST PRODUCTS LLC,US,US,nan,nan,,GLEIF,542ca7af-b8f7-ed5a-0401-abc7e7a93936,opencheck-292c3727939755a998509ded
splink_borderline,,,0.525,1.0,1,BP COMPANY NORTH AMERICA INC.,BP COMPANY NORTH AMERICA INC.,US,US,nan,nan,,GLEIF,5bdad9d4-9fb8-96f5-c3a6-093b7c9266e1,opencheck-949196695e88484b4a01e785
